1.3	96.1-3											
1.4	74.1-5											
1.5	75.16-19											
1.7	3.64											
2.18	9.29											
2.25	6.83	31.13										
2.33	2.143											
2.38	5.3											
2.43	31.34											
3.16	18.54-82											
3.20	18.54-82											
3.28	54.1-2											
3.45	84.8											
3.60	2.159-160											
3.64	18.60-82											
3.67	17.85											
4.4	37.102											
4.12	33.59											
4.26	2.159											
4.50	54.1-2											
4.100	5.33											
4.109	2.219	4.43	5.90									
5.21	33.50-51											
5.36	33.50-51											
6.5	2.222											
6.9	2.282											
6.27	2.222											
6.28	2.222											
7.1	4.34	4.43	5.6									
7.2	8.41											
8.21	9.28											
8.23	2.234	4.24
8.44	9.29											
8.45	6.151											
8.50	2.141-144											
8.53	2.125	66.5										
8.55	2.141-144											
8.81	54.1-2											
8.87	8.41											
8.107	2.275											
8.109	38.35											
9.5	11.114											
9.31	50.39											
9.49	50.39											
9.73	20.14											
10.45	17.18											
10.50	36.12											
10.167	72.1											
10.169	33.21											
10.250	37.102											
11.60	62.11											
13.28	60.12											
15.3	44.10-16	30.1-4										
15.15	44.10-16											
16.1	54.1											
16.4	54.1											
16.5	54.1											
16.10	54.1											
16.12	54.1	4.34										
16.14	54.1											
16.15	54.1											
16.18	54.1	75.6-9										
16.99	2.234	4.24
16.102	2.234	4.24
16.104	2.234	4.24
16.147	4.24	23.5-6	70.29-30
17.4	2.256											
18.21	33.21											
18.80	2.234	4.24
19.5	93.1-3											
19.7	18.54											
21.4	2.238											
21.14	38.35											
23.5	3.144											
23.31	9.80	9.84										
23.42	2.234											
23.47	35.18											
23.85	24.2											
23.112	30.30											
23.114	9.113											
23.116	92.5-6											
23.119	9.84											
23.122	14.27											
23.124	27.80											
23.149	111.1											
24.8	3.180											
24.9	9.34											
24.11	9.34											
24.19	9.79											
24.65	4.34	2.282										
24.66	23.5-6											
24.71	9.29											
24.77	75.6-9	81.1										
24.79	5.101											
24.94	5.89											
24.102	5.32											
25.11	2.197											
25.45	2.196											
25.58	2.196											
25.74	8.72											
25.79	18.94-99											
25.83	22.26											
25.89	22.26											
25.91	22.26											
25.92	22.26											
25.96	22.26											
25.97	22.26											
25.99	22.26											
25.125	2.158											
25.129	2.158											
25.130	2.158											
25.146	2.199											
25.246	2.198											
26.18	2.158											
26.30	2.189											
27.10	2.196											
28.10	77.1											
28.26	5.32	17.80-81										
28.42	4.34											
29.4	5.89											
29.18	4.88											
30.15	4.24											
30.25	2.187											
30.37	2.222											
30.56	2.184											
30.66	2.184											
33.6	2.222											
22.21	2.222											
34.4	2.198											
34.6	4.24											
34.12	62.11											
34.41	3.77											
34.44	19.77-78											
34.51	2.198											
34.58	21.51-54											
34.93	90.13											
34.104	24.2											
34.105	24.2											
34.106	90.13											
34.149	23.5-6	70.29-30										
34.158	4.6											
34.165	23.5-6	70.29-30										
34.175	2.234	4.24											
34.176	23.5-6	70.29-30										
34.179	23.5-6	70.29-30	24.2									
34.181	4.24	2.234	33.21	33.52								
35.15	48.20	8.41										
37.15	19.77											
37.23	23.5-6	70.29-30										
37.25	9.29											
39.1	24.2											
39.3	4.33											
40.14	24.2											
40.15	2.219	5.90-91										
40.17	3.93											
41.10	9.29											
41.12	9.29											
41.15	9.29											
41.28	2.159-160											
42.5	8.41	2.178										
42.6	3.77											
42.8	4.65											
42.12	54.1											
43.15	33.6											
44.4	5.45											
44.6	90.13											
44.10	2.256											
44.15	19.77											
46.1	54.48											
46.2	11.18											
46.11	4.128	4.34										
46.25	5.93											
46.29	66.1-5	90.13	33.51									
47.12	4.3	4.127										
47.16	9.29											
48.3	5.32											
48.8	3.77											
49.1	90.13											
49.2	90.13											
49.3	90.13	54.1										
49.15	90.13											
49.19	90.13											
49.23	90.13											
49.25	4.24	23.5-6	70.29-30									
49.26	4.24											
49.27	90.13											
49.28	4.24	90.13										
49.42	4.34											
51.16	4.3	4.129										
51.26	90.13											
51.56	3.28											
52.1	24.11-14											
52.3	2.229-230											
52.13	24.2											
52.22	2.282											
52.25	24.12-17											
52.33	24.4											
53.2	49.9											
53.3	2.42											
53.5	4.128											
53.6	24.2											
53.13	5.45											
54.1	60.10											
54.2	60.10-12											
54.16	18.72-77											
54.19	48.24-26	60.10										
54.20	60.11											
55.9	5.45											
55.10	4.11-12	4.176										
55.15	26.214											
55.16	26.214											
55.21	3.92											
55.26	4.2-3	4.127										
55.28	4.6											
55.29	4.116	2.102	5.32	3.130	4.2	3.166-168	24.4					
55.30	2.220											
55.32	3.92											
55.43	5.106											
56.4	2.216											
56.6	2.216											
56.8	2.216											
56.13	2.216											
56.14	2.216											
56.22	33.23											
56.23	33.23											
56.26	9.29											
56.33	2.216											
56.47	4.95											
56.48	4.95											
56.108	2.224	4.24
60.9	86.6-7
64.240	2.234	4.24
64.241	2.234	4.24
64.251	2.234	4.24
64.252	2.234	4.24
64.253	2.234	4.24
65.4635	4.95
67.23	2.234	4.24
67.94	2.234	4.24
67.104	2.234	4.24
70.15	2.234	4.24
70.53	2.234	4.24
80.60	2.234	4.24
81.146	86.6-7
